Image,Time(in mins),Sample Name,Milk Type,Gamma Avg RGB
photo_3.jpg,2,Buffalo 1,Fresh,"(198, 234, 251)"
photo_4.jpg,4,Buffalo 1,Fresh,"(198, 234, 251)"
photo_5.jpg,6,Buffalo 1,Fresh,"(197, 233, 251)"
photo_6.jpg,8,Buffalo 1,Fresh,"(197, 232, 250)"
photo_7.jpg,10,Buffalo 1,Fresh,"(197, 231, 250)"
photo_8.jpg,12,Buffalo 1,Fresh,"(197, 231, 250)"
photo_9.jpg,14,Buffalo 1,Fresh,"(197, 230, 250)"
photo_10.jpg,16,Buffalo 1,Fresh,"(197, 230, 250)"
photo_11.jpg,18,Buffalo 1,Fresh,"(196, 229, 249)"
photo_12.jpg,20,Buffalo 1,Fresh,"(196, 229, 249)"
photo_13.jpg,22,Buffalo 1,Fresh,"(196, 229, 249)"
photo_14.jpg,24,Buffalo 1,Fresh,"(195, 228, 249)"
photo_15.jpg,26,Buffalo 1,Fresh,"(195, 228, 249)"
photo_16.jpg,28,Buffalo 1,Fresh,"(195, 228, 249)"
photo_17.jpg,30,Buffalo 1,Fresh,"(193, 228, 249)"
photo_18.jpg,32,Buffalo 1,Fresh,"(192, 228, 249)"
photo_19.jpg,34,Buffalo 1,Fresh,"(192, 227, 249)"
photo_20.jpg,36,Buffalo 1,Fresh,"(192, 227, 249)"
photo_21.jpg,38,Buffalo 1,Fresh,"(192, 227, 248)"
photo_22.jpg,40,Buffalo 1,Fresh,"(191, 226, 248)"
photo_23.jpg,42,Buffalo 1,Fresh,"(191, 226, 248)"
photo_24.jpg,44,Buffalo 1,Fresh,"(191, 226, 248)"
photo_25.jpg,46,Buffalo 1,Fresh,"(191, 225, 248)"
photo_26.jpg,48,Buffalo 1,Fresh,"(189, 226, 248)"
photo_27.jpg,50,Buffalo 1,Fresh,"(188, 225, 248)"
photo_28.jpg,52,Buffalo 1,Fresh,"(188, 225, 247)"
photo_29.jpg,54,Buffalo 1,Fresh,"(188, 225, 247)"
photo_30.jpg,56,Buffalo 1,Fresh,"(188, 224, 247)"
photo_31.jpg,58,Buffalo 1,Fresh,"(187, 224, 246)"
photo_32.jpg,60,Buffalo 1,Fresh,"(187, 223, 246)"
photo_33.jpg,62,Buffalo 1,Fresh,"(187, 223, 246)"
photo_34.jpg,64,Buffalo 1,Fresh,"(186, 222, 245)"
photo_35.jpg,66,Buffalo 1,Fresh,"(186, 222, 245)"
photo_36.jpg,68,Buffalo 1,Fresh,"(186, 222, 245)"
photo_37.jpg,70,Buffalo 1,Fresh,"(185, 221, 244)"
photo_38.jpg,72,Buffalo 1,Fresh,"(185, 220, 244)"
photo_39.jpg,74,Buffalo 1,Fresh,"(185, 220, 243)"
photo_40.jpg,76,Buffalo 1,Fresh,"(184, 220, 243)"
photo_41.jpg,78,Buffalo 1,Fresh,"(184, 219, 242)"
photo_42.jpg,80,Buffalo 1,Fresh,"(184, 219, 242)"
photo_43.jpg,82,Buffalo 1,Fresh,"(184, 219, 241)"
photo_44.jpg,84,Buffalo 1,Fresh,"(183, 218, 241)"
photo_45.jpg,86,Buffalo 1,Fresh,"(183, 218, 240)"
photo_46.jpg,88,Buffalo 1,Fresh,"(183, 217, 240)"
photo_47.jpg,90,Buffalo 1,Fresh,"(182, 217, 239)"
photo_48.jpg,92,Buffalo 1,Fresh,"(182, 216, 238)"
photo_49.jpg,94,Buffalo 1,Fresh,"(181, 216, 238)"
photo_50.jpg,96,Buffalo 1,Fresh,"(181, 215, 237)"
photo_51.jpg,98,Buffalo 1,Fresh,"(179, 215, 236)"
photo_52.jpg,100,Buffalo 1,Fresh,"(178, 214, 236)"
photo_53.jpg,102,Buffalo 1,Fresh,"(178, 213, 235)"
photo_54.jpg,104,Buffalo 1,Fresh,"(177, 213, 234)"
photo_55.jpg,106,Buffalo 1,Fresh,"(177, 213, 234)"
photo_56.jpg,108,Buffalo 1,Fresh,"(176, 212, 233)"
photo_57.jpg,110,Buffalo 1,Fresh,"(176, 211, 232)"
photo_58.jpg,112,Buffalo 1,Fresh,"(175, 211, 231)"
photo_59.jpg,114,Buffalo 1,Fresh,"(175, 210, 230)"
photo_60.jpg,116,Buffalo 1,Fresh,"(175, 210, 230)"
photo_61.jpg,118,Buffalo 1,Fresh,"(174, 209, 229)"
photo_62.jpg,120,Buffalo 1,Fresh,"(174, 208, 228)"
photo_63.jpg,122,Buffalo 1,Fresh,"(174, 208, 228)"
photo_64.jpg,124,Buffalo 1,Fresh,"(173, 207, 227)"
photo_65.jpg,126,Buffalo 1,Fresh,"(173, 207, 226)"
photo_66.jpg,128,Buffalo 1,Fresh,"(172, 207, 226)"
photo_67.jpg,130,Buffalo 1,Fresh,"(172, 206, 225)"
photo_68.jpg,132,Buffalo 1,Fresh,"(170, 206, 225)"
photo_69.jpg,134,Buffalo 1,Fresh,"(170, 205, 224)"
photo_70.jpg,136,Buffalo 1,Fresh,"(169, 205, 224)"
photo_71.jpg,138,Buffalo 1,Fresh,"(168, 204, 223)"
photo_72.jpg,140,Buffalo 1,Fresh,"(168, 204, 222)"
photo_73.jpg,142,Buffalo 1,Fresh,"(168, 204, 222)"
photo_74.jpg,144,Buffalo 1,Fresh,"(168, 203, 221)"
photo_75.jpg,146,Buffalo 1,Fresh,"(167, 203, 220)"
photo_76.jpg,148,Buffalo 1,Fresh,"(167, 202, 219)"
photo_77.jpg,150,Buffalo 1,Fresh,"(166, 202, 219)"
photo_78.jpg,152,Buffalo 1,Fresh,"(166, 201, 218)"
photo_79.jpg,154,Buffalo 1,Fresh,"(166, 201, 218)"
photo_80.jpg,156,Buffalo 1,Fresh,"(165, 200, 217)"
photo_81.jpg,158,Buffalo 1,Fresh,"(165, 200, 217)"
photo_82.jpg,160,Buffalo 1,Fresh,"(164, 199, 216)"
photo_83.jpg,162,Buffalo 1,Fresh,"(164, 199, 216)"
photo_84.jpg,164,Buffalo 1,Fresh,"(164, 199, 215)"
photo_85.jpg,166,Buffalo 1,Fresh,"(161, 199, 215)"
photo_86.jpg,168,Buffalo 1,Fresh,"(161, 198, 215)"
photo_87.jpg,170,Buffalo 1,Fresh,"(161, 198, 214)"
photo_88.jpg,172,Buffalo 1,Fresh,"(160, 198, 213)"
photo_89.jpg,174,Buffalo 1,Fresh,"(161, 197, 213)"
photo_90.jpg,176,Buffalo 1,Fresh,"(160, 197, 212)"
photo_91.jpg,178,Buffalo 1,Fresh,"(159, 196, 212)"
photo_92.jpg,180,Buffalo 1,Fresh,"(159, 196, 212)"
photo_93.jpg,182,Buffalo 1,Fresh,"(158, 196, 211)"
photo_94.jpg,184,Buffalo 1,Fresh,"(159, 195, 211)"
photo_95.jpg,186,Buffalo 1,Fresh,"(158, 195, 210)"
photo_96.jpg,188,Buffalo 1,Fresh,"(158, 194, 210)"
photo_97.jpg,190,Buffalo 1,Fresh,"(157, 194, 210)"
photo_98.jpg,192,Buffalo 1,Fresh,"(157, 194, 209)"
photo_99.jpg,194,Buffalo 1,Fresh,"(157, 193, 208)"
photo_100.jpg,196,Buffalo 1,Fresh,"(157, 193, 208)"
photo_101.jpg,198,Buffalo 1,Fresh,"(157, 192, 208)"
photo_102.jpg,200,Buffalo 1,Fresh,"(156, 192, 208)"
photo_103.jpg,202,Buffalo 1,Fresh,"(156, 192, 207)"
photo_104.jpg,204,Buffalo 1,Fresh,"(155, 191, 207)"
photo_105.jpg,206,Buffalo 1,Fresh,"(155, 191, 207)"
photo_106.jpg,208,Buffalo 1,Fresh,"(155, 191, 206)"
photo_107.jpg,210,Buffalo 1,Fresh,"(155, 190, 206)"
photo_108.jpg,212,Buffalo 1,Fresh,"(154, 190, 205)"
photo_109.jpg,214,Buffalo 1,Fresh,"(154, 190, 205)"
photo_110.jpg,216,Buffalo 1,Fresh,"(151, 190, 205)"
photo_111.jpg,218,Buffalo 1,Fresh,"(151, 190, 205)"
photo_112.jpg,220,Buffalo 1,Fresh,"(150, 190, 204)"
photo_113.jpg,222,Buffalo 1,Fresh,"(151, 189, 204)"
photo_114.jpg,224,Buffalo 1,Fresh,"(151, 189, 204)"
photo_115.jpg,226,Buffalo 1,Fresh,"(150, 189, 204)"
photo_116.jpg,228,Buffalo 1,Fresh,"(150, 188, 203)"
photo_117.jpg,230,Buffalo 1,Fresh,"(149, 188, 202)"
photo_118.jpg,232,Buffalo 1,Fresh,"(150, 187, 201)"
photo_119.jpg,234,Buffalo 1,Fresh,"(149, 187, 201)"
photo_120.jpg,236,Buffalo 1,Fresh,"(149, 187, 201)"
photo_121.jpg,238,Buffalo 1,Fresh,"(149, 187, 201)"
photo_122.jpg,240,Buffalo 1,Fresh,"(149, 187, 201)"
photo_123.jpg,242,Buffalo 1,Fresh,"(149, 186, 201)"
