Image,Time(in mins),Sample Name,Milk Type,Gamma Avg RGB
photo_4.jpg,2,Goat 1,Fresh,"(188, 216, 225)"
photo_5.jpg,4,Goat 1,Fresh,"(186, 214, 224)"
photo_6.jpg,6,Goat 1,Fresh,"(185, 213, 224)"
photo_7.jpg,8,Goat 1,Fresh,"(184, 211, 222)"
photo_8.jpg,10,Goat 1,Fresh,"(184, 213, 225)"
photo_9.jpg,12,Goat 1,Fresh,"(184, 214, 223)"
photo_10.jpg,14,Goat 1,Fresh,"(184, 213, 224)"
photo_11.jpg,16,Goat 1,Fresh,"(183, 214, 223)"
photo_12.jpg,18,Goat 1,Fresh,"(183, 213, 223)"
photo_13.jpg,20,Goat 1,Fresh,"(183, 213, 224)"
photo_14.jpg,22,Goat 1,Fresh,"(183, 213, 223)"
photo_15.jpg,24,Goat 1,Fresh,"(183, 213, 223)"
photo_16.jpg,26,Goat 1,Fresh,"(182, 213, 224)"
photo_17.jpg,28,Goat 1,Fresh,"(183, 213, 224)"
photo_18.jpg,30,Goat 1,Fresh,"(183, 213, 223)"
photo_19.jpg,32,Goat 1,Fresh,"(183, 213, 224)"
photo_20.jpg,34,Goat 1,Fresh,"(183, 213, 224)"
photo_21.jpg,36,Goat 1,Fresh,"(183, 213, 224)"
photo_22.jpg,38,Goat 1,Fresh,"(183, 213, 224)"
photo_23.jpg,40,Goat 1,Fresh,"(183, 213, 224)"
photo_24.jpg,42,Goat 1,Fresh,"(183, 213, 224)"
photo_25.jpg,44,Goat 1,Fresh,"(183, 213, 225)"
photo_26.jpg,46,Goat 1,Fresh,"(183, 214, 225)"
photo_27.jpg,48,Goat 1,Fresh,"(183, 214, 225)"
photo_28.jpg,50,Goat 1,Fresh,"(183, 214, 225)"
photo_29.jpg,52,Goat 1,Fresh,"(183, 214, 225)"
photo_30.jpg,54,Goat 1,Fresh,"(184, 215, 226)"
photo_31.jpg,56,Goat 1,Fresh,"(184, 215, 226)"
photo_32.jpg,58,Goat 1,Fresh,"(184, 215, 226)"
photo_33.jpg,60,Goat 1,Fresh,"(184, 215, 226)"
photo_34.jpg,62,Goat 1,Fresh,"(184, 215, 227)"
photo_35.jpg,64,Goat 1,Fresh,"(184, 215, 227)"
photo_36.jpg,66,Goat 1,Fresh,"(184, 215, 227)"
photo_37.jpg,68,Goat 1,Fresh,"(184, 216, 227)"
photo_38.jpg,70,Goat 1,Fresh,"(184, 216, 227)"
photo_39.jpg,72,Goat 1,Fresh,"(185, 216, 228)"
photo_40.jpg,74,Goat 1,Fresh,"(185, 217, 228)"
photo_41.jpg,76,Goat 1,Fresh,"(185, 217, 229)"
photo_42.jpg,78,Goat 1,Fresh,"(185, 217, 229)"
photo_43.jpg,80,Goat 1,Fresh,"(185, 217, 229)"
photo_44.jpg,82,Goat 1,Fresh,"(186, 217, 229)"
photo_45.jpg,84,Goat 1,Fresh,"(185, 217, 229)"
photo_46.jpg,86,Goat 1,Fresh,"(186, 218, 229)"
photo_47.jpg,88,Goat 1,Fresh,"(186, 218, 230)"
photo_48.jpg,90,Goat 1,Fresh,"(186, 218, 230)"
photo_49.jpg,92,Goat 1,Fresh,"(186, 218, 230)"
photo_50.jpg,94,Goat 1,Fresh,"(186, 218, 230)"
